,season,week,home,away,game_result,yppa_diff,rush_diff,drive_points_diff,turnover_diff,sack_yards_diff,sack_times_diff
3344,2014,10,Cardinals,Rams,1,1.7000000000000002,-1.9000000000000001,1.58,-2,-23,-3
3345,2014,11,Seahawks,Giants,1,3.3000000000000007,4.6,1.9000000000000001,1,-1,0
3346,2014,11,Packers,Bears,1,3.5999999999999996,1.7999999999999998,3.2300000000000004,-2,-27,-4
3347,2014,11,Eagles,Panthers,1,3.1999999999999993,-1.6,1.69,-5,-87,-8
3348,2014,11,Dolphins,Bills,1,1.2999999999999998,2.4000000000000004,1.3000000000000003,2,25,3
3349,2014,11,Bears,Vikings,1,2.5,-1.5,0.8,1,-11,-2
3350,2014,11,Browns,Texans,0,-0.7999999999999998,-1.1,-1.23,1,20,3
3351,2014,11,Chiefs,Seahawks,1,1.5999999999999996,0.7999999999999998,0.44999999999999973,2,-10,-2
3352,2014,11,Rams,Broncos,1,0.2999999999999998,1.2000000000000002,1.29,-2,-6,1
3353,2014,11,Saints,Bengals,0,-3.8,-2.3000000000000003,-1.95,1,-1,-1
3354,2014,11,Giants,49ers,0,-0.2999999999999998,-0.8999999999999999,-0.5000000000000001,4,7,1
3355,2014,11,Redskins,Buccaneers,0,-6.999999999999999,2.7,-2.36,2,33,4
3356,2014,11,Panthers,Falcons,0,1.9000000000000004,1.0,-0.25,1,-1,0
3357,2014,11,Chargers,Raiders,1,0.5,0.09999999999999964,0.54,-1,3,0
3358,2014,11,Packers,Eagles,1,2.3,0.9000000000000004,3.76,-4,-24,-2
3359,2014,11,Cardinals,Lions,1,4.1,-3.4000000000000004,0.67,1,-19,-4
3360,2014,11,Colts,Patriots,0,-0.7999999999999998,-4.3999999999999995,-1.8199999999999998,-1,0,1
3361,2014,12,Titans,Steelers,0,5.4,-2.4000000000000004,-0.33000000000000007,0,-27,-5
3362,2014,12,Raiders,Chiefs,1,-1.0999999999999996,2.0,0.33000000000000007,1,-15,-1
3363,2014,12,Colts,Jaguars,1,2.5,1.5,1.67,1,7,1
3364,2014,12,Falcons,Browns,0,-1.6999999999999993,-2.8999999999999995,0.040000000000000036,-1,12,2
3365,2014,12,Bears,Buccaneers,1,-2.2,0.5,0.5299999999999999,-3,-22,-2
3366,2014,12,Vikings,Packers,0,-1.7999999999999998,-0.2999999999999998,-0.06999999999999984,1,12,1
3367,2014,12,Patriots,Lions,1,1.2999999999999998,0.8999999999999999,2.08,0,-20,-2
3368,2014,12,Eagles,Titans,1,-0.7999999999999998,1.5999999999999996,1.37,-1,-37,-3
3369,2014,12,Texans,Bengals,0,-2.6000000000000005,0.19999999999999973,-0.7,0,5,1
3370,2014,12,Chargers,Rams,1,2.3,1.2999999999999998,0.4500000000000002,0,2,2
3371,2014,12,Seahawks,Cardinals,1,2.3,1.0999999999999996,1.43,-1,33,4
3372,2014,12,Broncos,Dolphins,1,1.0999999999999996,1.1000000000000005,0.73,0,-4,0
3373,2014,12,49ers,Redskins,1,4.7,-2.7,0.22999999999999998,2,-19,-3
3374,2014,12,Giants,Cowboys,0,-2.0,-2.0,-0.27,0,1,0
3375,2014,12,Bills,Jets,1,2.8000000000000007,-0.7999999999999998,3.55,-1,-29,-6
3376,2014,12,Saints,Ravens,0,-0.9000000000000004,-0.7000000000000002,-0.6999999999999997,0,12,3
3377,2014,13,Lions,Bears,1,3.2,2.4,1.67,-1,-17,-1
3378,2014,13,Cowboys,Eagles,0,-1.2000000000000002,-2.0,-1.92,2,16,3
3379,2014,13,49ers,Seahawks,0,-6.699999999999999,-0.9999999999999996,-1.5999999999999999,3,7,0
3380,2014,13,Bills,Browns,1,-0.5,0.7000000000000002,1.29,-1,-5,-1
3381,2014,13,Colts,Redskins,1,6.1000000000000005,2.0,1.84,2,-42,-5
3382,2014,13,Rams,Raiders,1,4.2,3.6999999999999997,3.71,-5,-40,-5
3383,2014,13,Vikings,Panthers,1,0.6999999999999993,-1.6000000000000005,2.36,-1,-4,-1
3384,2014,13,Steelers,Saints,0,-1.8000000000000007,-1.0,-0.5100000000000002,2,-7,0
3385,2014,13,Buccaneers,Bengals,0,0.20000000000000018,-1.0,-0.08999999999999986,-2,-9,-1
3386,2014,13,Jaguars,Giants,1,-2.3,2.1000000000000005,0.22999999999999998,-3,20,3
3387,2014,13,Ravens,Chargers,0,-1.1000000000000005,0.2999999999999998,-0.48,-2,-7,-2
3388,2014,13,Texans,Titans,1,3.200000000000001,-1.0,1.71,-3,-38,-3
3389,2014,13,Falcons,Cardinals,1,1.1999999999999993,1.0,0.6199999999999999,-2,3,1
3390,2014,13,Packers,Patriots,1,2.499999999999999,-0.20000000000000018,0.56,0,11,2
3391,2014,13,Chiefs,Broncos,0,-0.2999999999999998,-2.0999999999999996,-0.8999999999999999,2,38,5
3392,2014,13,Jets,Dolphins,0,-2.4000000000000004,1.6000000000000005,-0.1499999999999999,0,-2,0
3393,2014,14,Bears,Cowboys,0,-0.39999999999999947,-3.2,-1.5499999999999998,2,-2,-1
3394,2014,14,Bengals,Steelers,0,0.1999999999999993,-2.1000000000000005,-1.5,2,5,3
3395,2014,14,Browns,Colts,0,-0.6999999999999993,-0.9999999999999996,0.13000000000000012,-2,-22,-2
3396,2014,14,Lions,Buccaneers,1,3.3,1.7000000000000002,1.31,-2,-26,-2
3397,2014,14,Titans,Giants,0,-1.7999999999999998,-0.2999999999999998,-2.23,2,60,8
3398,2014,14,Dolphins,Ravens,0,-2.4000000000000004,-2.0000000000000004,-1.4999999999999998,-1,36,5
3399,2014,14,Vikings,Jets,1,2.6999999999999993,0.09999999999999964,0.5,0,0,0
3400,2014,14,Saints,Panthers,0,-2.3999999999999995,-1.3999999999999995,-2.59,2,17,2
3401,2014,14,Redskins,Rams,0,-4.0,-2.2,-2.4,2,38,3
3402,2014,14,Jaguars,Texans,0,-2.3999999999999995,-0.5,-1.2700000000000002,1,17,3
3403,2014,14,Broncos,Bills,1,2.5999999999999996,0.0,0.6300000000000001,0,-14,-4
3404,2014,14,Cardinals,Chiefs,1,0.7000000000000002,-3.1000000000000005,0.28,-2,-15,-3
3405,2014,14,Raiders,49ers,1,4.200000000000001,-2.7,1.0000000000000002,-2,-14,-4
3406,2014,14,Eagles,Seahawks,0,-2.7,-1.4999999999999996,-0.77,0,3,1
3407,2014,14,Chargers,Patriots,0,-2.0999999999999996,0.0,-0.6000000000000001,-1,19,3
3408,2014,14,Packers,Falcons,1,-0.5999999999999996,2.2,0.5999999999999996,-1,3,0
3409,2014,15,Rams,Cardinals,0,1.0,-0.8999999999999999,-0.46,2,10,1
3410,2014,15,Falcons,Steelers,0,-1.6999999999999993,2.8,-1.1599999999999997,1,-7,-1
3411,2014,15,Bills,Packers,1,1.0,-3.1999999999999997,0.6200000000000001,-1,8,2
3412,2014,15,Browns,Bengals,0,-1.2999999999999998,-2.3000000000000003,-3.0,1,12,1
3413,2014,15,Colts,Texans,1,-1.1999999999999993,0.6000000000000001,0.38,0,14,1
3414,2014,15,Chiefs,Raiders,1,5.9,-1.1999999999999997,1.2599999999999998,0,-18,-3
3415,2014,15,Patriots,Dolphins,1,1.5999999999999996,0.40000000000000036,2.34,-1,-38,-4
3416,2014,15,Giants,Redskins,1,0.2999999999999998,-3.0999999999999996,1.1,0,-35,-6
3417,2014,15,Panthers,Buccaneers,1,1.7999999999999998,-2.8,0.030000000000000027,-2,-10,0
3418,2014,15,Ravens,Jaguars,1,3.0,0.0,0.7499999999999999,0,-63,-8
3419,2014,15,Titans,Jets,0,1.4000000000000004,-0.6999999999999997,-0.41000000000000003,1,-9,-2
3420,2014,15,Chargers,Broncos,0,-4.6000000000000005,-0.10000000000000009,-1.0,2,-7,-1
3421,2014,15,Lions,Vikings,1,-1.4000000000000004,0.0,0.20000000000000018,-2,-31,-4
3422,2014,15,Seahawks,49ers,1,0.2999999999999998,0.39999999999999947,1.0099999999999998,1,-6,-1
3423,2014,15,Eagles,Cowboys,0,-0.20000000000000018,0.8999999999999999,-0.46999999999999975,2,17,1
3424,2014,15,Bears,Saints,0,-5.1,3.0,-1.23,2,26,5
3425,2014,16,Jaguars,Titans,1,-3.4000000000000004,3.6999999999999997,0.9200000000000002,0,-12,0
3426,2014,16,Redskins,Eagles,1,1.7000000000000002,-0.8999999999999999,0.0,0,2,-1
3427,2014,16,49ers,Chargers,0,-2.6000000000000005,4.800000000000001,-0.22999999999999998,0,14,0
3428,2014,16,Bears,Lions,0,-1.5,-2.4,-0.6000000000000001,-2,-3,-2
